slug,candidate,filename,wikimedia_title,author,license,source_url,width,height
06-georgetown-seawall,1,06-georgetown-seawall-candidate-1.jpg,File:Georgetown Seawall (13930073174).jpg,David Stanley from Nanaimo; Canada,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Georgetown_Seawall_(13930073174).jpg,1024,768
06-georgetown-seawall,2,06-georgetown-seawall-candidate-2.jpg,File:Georgetown seawall and beach (23651742095).jpg,Dan Sloan,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Georgetown_seawall_and_beach_(23651742095).jpg,6000,4000
06-georgetown-seawall,3,06-georgetown-seawall-candidate-3.jpg,File:Georgetown seawall and beach (23625682566).jpg,Dan Sloan,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Georgetown_seawall_and_beach_(23625682566).jpg,6000,4000
06-georgetown-seawall,4,06-georgetown-seawall-candidate-4.jpg,File:Beach and seawall - Georgetown (23283832619).jpg,Dan Sloan,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Beach_and_seawall_-_Georgetown_(23283832619).jpg,6000,4000
06-georgetown-seawall,5,06-georgetown-seawall-candidate-5.jpg,File:Georgetown (23356098330).jpg,Dan Sloan,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Georgetown_(23356098330).jpg,3671,2447
09-georgetown-lighthouse,1,09-georgetown-lighthouse-candidate-1.jpg,File:Georgetown-Lighthouse.jpg,John+Elaine,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Georgetown-Lighthouse.jpg,3072,4608
09-georgetown-lighthouse,2,09-georgetown-lighthouse-candidate-2.png,File:Georgetown Demerara 1888.png,Melton Prior 1845-1910,Public domain,https://commons.wikimedia.org/wiki/File:Georgetown_Demerara_1888.png,982,593
09-georgetown-lighthouse,3,09-georgetown-lighthouse-candidate-3.png,File:Sketch Map of British Guiana WDL11335.png,Schomburgk; Robert H. (Robert Hermann); Sir; 1804-1865,Public domain,https://commons.wikimedia.org/wiki/File:Sketch_Map_of_British_Guiana_WDL11335.png,1024,1799
12-cultural-centre,1,12-cultural-centre-candidate-1.jpg,File:US Navy 070929-N-7092S-046 The U.S. Navy Showband; attached to Military Sealift Command hospital ship USNS Comfort (T-AH 20); performs at the National Cultural Centre.jpg,U.S. Navy photo by Mass Communication Specialist 2nd Class Brandon Shelander,Public domain,https://commons.wikimedia.org/wiki/File:US_Navy_070929-N-7092S-046_The_U.S._Navy_Showband,_attached_to_Military_Sealift_Command_hospital_ship_USNS_Comfort_(T-AH_20),_performs_at_the_National_Cultural_Centre.jpg,2100,1406
12-cultural-centre,2,12-cultural-centre-candidate-2.jpg,File:US Navy 070929-N-7092S-105 From left; U.S. Navy Showband members Musician 1st Class Joe Davidson; Musician 2nd Class Brandon Barbee and Musician 1st Class Amanda Marquis perform at the National Cultural Centre.jpg,U.S. Navy photo by Mass Communication Specialist 2nd Class Brandon Shelander,Public domain,https://commons.wikimedia.org/wiki/File:US_Navy_070929-N-7092S-105_From_left,_U.S._Navy_Showband_members_Musician_1st_Class_Joe_Davidson,_Musician_2nd_Class_Brandon_Barbee_and_Musician_1st_Class_Amanda_Marquis_perform_at_the_National_Cultural_Centre.jpg,2100,1406
