"file","query","photographer","source","provider"
"01-guyana-georgetown.jpg","Georgetown Guyana skyline","Anderson Jagradatt Sonnysingh","https://www.pexels.com/photo/aerial-view-of-coastal-city-with-blue-sky-and-sea-31113181/","Pexels"
"02-jamaica-kingston.jpg","Kingston Jamaica waterfront","Sean Witter","https://www.pexels.com/photo/a-white-structure-on-body-of-water-under-starry-sky-9158430/","Pexels"
"03-trinidad-port-of-spain.jpg","Port of Spain Trinidad cityscape","Dominik Gryzbon","https://www.pexels.com/photo/panoramic-view-of-port-of-spain-trinidad-30871803/","Pexels"
"04-barbados-bridgetown.jpg","Bridgetown Barbados harbor","Rashad Browne","https://www.pexels.com/photo/scenic-view-of-bridgetown-with-historic-buildings-32115340/","Pexels"
"05-ghana-accra.jpg","Accra Ghana skyline","Kweku Pozybhle Directs","https://www.pexels.com/photo/aerial-view-of-tema-cityscape-in-greater-accra-32803403/","Pexels"
"06-kenya-nairobi.jpg","Nairobi Kenya skyline","Ken Mwaura","https://www.pexels.com/photo/skyline-view-of-nairobi-cityscape-at-daytime-29069344/","Pexels"
"07-nigeria-lagos.jpg","Lagos Nigeria skyline","Ben Iwara","https://www.pexels.com/photo/aerial-view-of-the-carter-bridge-connecting-lagos-island-to-the-mainland-22681398/","Pexels"
"08-southafrica-capetown.jpg","Cape Town South Africa Table Mountain","Kelly","https://www.pexels.com/photo/stunning-night-view-of-cape-town-with-table-mountain-33622084/","Pexels"
"09-indo-caribbean-diwali.jpg","Diwali festival","Sanket  Mishra","https://www.pexels.com/photo/diwali-hindu-festival-of-lights-celebration-clay-diya-candles-illuminated-in-dipavali-traditional-oil-lamps-on-dark-background-18849427/","Pexels"
"10-parliament.jpg","parliament government building","Efrem  Efre","https://www.pexels.com/photo/hellenic-parliament-building-in-athens-greece-33946504/","Pexels"
"11-oil-rig.jpg","oil rig offshore platform","GANESH RAMSUMAIR","https://www.pexels.com/photo/platform-with-helipad-on-sea-15961091/","Pexels"
"12-cricket.jpg","cricket stadium match","Shlok","https://www.pexels.com/photo/night-cricket-match-at-narendra-modi-stadium-36230651/","Pexels"
"13-football.jpg","football soccer match","Jeffrey Paa Kwesi Opare","https://www.pexels.com/photo/intense-soccer-match-action-on-the-field-36862523/","Pexels"
"14-airport.jpg","airport runway tropical","Magda Ehlers","https://www.pexels.com/photo/a-black-asphalt-road-7508565/","Pexels"
"15-street-market.jpg","caribbean street market","Abdel Achkouk","https://www.pexels.com/photo/lively-street-market-in-saint-john-antigua-34773453/","Pexels"
"16-tropical-beach.jpg","tropical beach palm trees","ธันยกร ไกรสร","https://www.pexels.com/photo/photo-of-green-palm-trees-near-the-sea-5876967/","Pexels"
"17-money-cash.jpg","cash money currency","Pixabay","https://www.pexels.com/photo/1-us-bank-note-47344/","Pexels"
"18-construction.jpg","road construction infrastructure","Robert So","https://www.pexels.com/photo/yellow-road-roller-parked-on-side-of-the-road-12274274/","Pexels"
"19-police.jpg","police officer uniform","Markus Spiske","https://www.pexels.com/photo/a-man-in-black-police-uniform-4682719/","Pexels"
"20-school-children.jpg","school children classroom","Kwaku Griffin","https://www.pexels.com/photo/photo-of-a-group-of-children-in-a-classroom-14554004/","Pexels"
"21-storm-clouds.jpg","hurricane storm clouds tropical","Pixabay","https://www.pexels.com/photo/earth-planet-76969/","Pexels"
"22-mango-tree.jpg","mango fruit tree","Sharath G.","https://www.pexels.com/photo/green-fruit-on-tree-4418675/","Pexels"
"23-reggae-music.jpg","reggae music festival","Thibault Trillet","https://www.pexels.com/photo/man-standing-on-stage-at-ronquieres-festival-167453/","Pexels"
"24-carnival-parade.jpg","carnival parade dancer","Mario Spencer","https://www.pexels.com/photo/grand-gala-parade-2024-en-limon-28184043/","Pexels"
"25-newspaper-press.jpg","newspaper printing press","Somogro Bangladesh","https://www.pexels.com/photo/newspaper-printing-press-workers-reading-latest-news-36376224/","Pexels"
"26-press-conference.jpg","microphone podium press conference","Wikimedia Commons","https://www.pexels.com/photo/berlin-eu-european-union-federal-chancellery-4666/","Pexels"
"27-voting-ballot.jpg","voting ballot box election","Edmond Dantès","https://www.pexels.com/photo/person-putting-a-ballot-in-the-box-7103187/","Pexels"
"28-courthouse.jpg","courthouse legal building","David Guerrero","https://www.pexels.com/photo/facade-of-the-box-elder-county-courthouse-in-brigham-city-utah-usa-15452110/","Pexels"
